year,state,deaths,population
2020,Arkansas,22,3030522
2020,California,85,39368078
2020,Colorado,16,5807719
2020,Connecticut,,3557006
2020,Delaware,,986809
2020,District of Columbia,,712816
2020,Florida,60,21733312
2020,Georgia,49,10710017
2020,Hawaii,,1407006
2020,Idaho,,1826913
2020,Illinois,37,12587530
2020,Indiana,33,6754953
2020,Iowa,,3163561
2020,Kansas,12,2913805
2020,Kentucky,28,4477251
2020,Louisiana,33,4645318
2020,Maine,,1350141
2020,Maryland,19,6055802
2020,Massachusetts,18,6893574
2020,Michigan,38,9966555
2020,Minnesota,12,5657342
2020,Mississippi,16,2966786
2020,Missouri,39,6151548
2020,Montana,,1080577
2020,Nebraska,,1937552
2020,Nevada,13,3138259
2020,New Hampshire,,1366275
2020,New Jersey,35,8882371
2020,New Mexico,10,2106319
2020,New York,71,19336776
2020,North Carolina,67,10600823
2020,North Dakota,,765309
2020,Ohio,44,11693217
2020,Oklahoma,12,3980783
2020,Oregon,20,4241507
2020,Pennsylvania,25,12783254
2020,Rhode Island,,1057125
2020,South Carolina,31,5218040
2020,South Dakota,,892717
2020,Tennessee,54,6886834
2020,Texas,155,29360759
2020,Utah,,3249879
2020,Virginia,46,8590563
2020,Washington,17,7693612
2020,West Virginia,,1784787
2020,Wisconsin,15,5832655
2020,Wyoming,,582328
2021,Alabama,50,5039877
2021,Alaska,,732673
2021,Arizona,38,7276316
2021,Arkansas,24,3025891
2021,California,95,39237836
2021,Colorado,16,5812069
2021,Connecticut,10,3605597
2021,Delaware,,1003384
2021,District of Columbia,,670050
2021,Florida,110,21781128
2021,Georgia,96,10799566
2021,Hawaii,,1441553
2021,Idaho,,1900923
2021,Illinois,47,12671469
2021,Indiana,38,6805985
2021,Iowa,19,3193079
2021,Kansas,13,2934582
2021,Kentucky,23,4509394
2021,Louisiana,44,4624047
2021,Maine,,1372247
2021,Maryland,26,6165129
2021,Massachusetts,15,6984723
2021,Michigan,34,10050811
2021,Minnesota,17,5707390
2021,Mississippi,38,2949965
2021,Missouri,36,6168187
2021,Montana,,1104271
2021,Nebraska,,1963692
2021,Nevada,10,3143991
2021,New Hampshire,,1388992
2021,New Jersey,44,9267130
2021,New Mexico,21,2115877
2021,New York,89,19835913
2021,North Carolina,83,10551162
2021,North Dakota,,774948
2021,Ohio,68,11780017
2021,Oklahoma,25,3986639
2021,Oregon,14,4246155
2021,Pennsylvania,47,12964056
2021,Rhode Island,,1095610
2021,South Carolina,37,5190705
2021,South Dakota,,895376
2021,Tennessee,61,6975218
2021,Texas,206,29527941
2021,Utah,16,3337975
2021,Virginia,60,8642274
2021,Washington,28,7738692
2021,West Virginia,,1782959
2021,Wisconsin,18,5895908
2021,Wyoming,,578803
2022,Alabama,24,5074296
2022,Alaska,,733583
2022,Arizona,27,7359197
2022,Arkansas,12,3045637
2022,California,70,39029342
2022,Colorado,18,5839926
2022,Connecticut,16,3626205
2022,Delaware,,1018396
2022,District of Columbia,,671803
2022,Florida,55,22244823
2022,Georgia,55,10912876
2022,Hawaii,,1440196
2022,Idaho,,1939033
2022,Illinois,40,12582032
2022,Indiana,27,6833037
2022,Iowa,11,3200517
2022,Kansas,12,2937150
2022,Kentucky,15,4512310
2022,Louisiana,21,4590241
2022,Maine,,1385340
2022,Maryland,25,6164660
2022,Massachusetts,18,6981974
2022,Michigan,36,10034113
2022,Minnesota,12,5717184
2022,Mississippi,14,2940057
2022,Missouri,23,6177957
2022,Montana,,1122867
2022,Nebraska,,1967923
2022,Nevada,,3177772
2022,New Hampshire,,1395231
2022,New Jersey,41,9261699
2022,New Mexico,,2113344
2022,New York,74,19677151
2022,North Carolina,65,10698973
2022,North Dakota,,779261
2022,Ohio,57,11756058
2022,Oklahoma,17,4019800
2022,Oregon,16,4240137
2022,Pennsylvania,44,12972008
2022,Rhode Island,,1093734
2022,South Carolina,26,5282634
2022,South Dakota,,909824
2022,Tennessee,46,7051339
2022,Texas,159,30029572
2022,Utah,,3380800
2022,Virginia,61,8683619
2022,Washington,15,7785786
2022,West Virginia,,1775156
2022,Wisconsin,21,5892539
2022,Wyoming,,581381
2023,Alabama,25,5108468
2023,Alaska,,733406
2023,Arizona,25,7431344
2023,Arkansas,19,3067732
2023,California,63,38965193
2023,Colorado,14,5877610
2023,Connecticut,,3617176
2023,Delaware,,1031890
2023,District of Columbia,,678972
2023,Florida,59,22610726
2023,Georgia,54,11029227
2023,Hawaii,,1435138
2023,Idaho,,1964726
2023,Illinois,35,12549689
2023,Indiana,29,6862199
2023,Iowa,10,3207004
2023,Kansas,,2940546
2023,Kentucky,21,4526154
2023,Louisiana,27,4573749
2023,Maine,,1395722
2023,Maryland,16,6180253
2023,Massachusetts,,7001399
2023,Michigan,22,10037261
2023,Minnesota,18,5737915
2023,Mississippi,19,2939690
2023,Missouri,25,6196156
2023,Montana,,1132812
2023,Nebraska,,1978379
2023,Nevada,,3194176
2023,New Hampshire,,1402054
2023,New Jersey,24,9290841
2023,New Mexico,,2114371
2023,New York,53,19571216
2023,North Carolina,63,10835491
2023,North Dakota,,783926
2023,Ohio,34,11785935
2023,Oklahoma,12,4053824
2023,Oregon,,4233358
2023,Pennsylvania,30,12961683
2023,Rhode Island,,1095962
2023,South Carolina,17,5373555
2023,Tennessee,39,7126489
2023,Texas,128,30503301
2023,Utah,,3417734
2023,Virginia,31,8715698
2023,Washington,17,7812880
2023,West Virginia,,1770071
2023,Wisconsin,18,5910955
2023,Wyoming,,584057
2024,Alabama,21,5157699
2024,Alaska,,740133
2024,Arizona,22,7582384
2024,Arkansas,16,3088354
2024,California,89,39431263
2024,Colorado,16,5957493
2024,Connecticut,,3675069
2024,Delaware,,1051917
2024,District of Columbia,,702250
2024,Florida,50,23372215
2024,Georgia,45,11180878
2024,Hawaii,,1446146
2024,Idaho,,2001619
2024,Illinois,31,12710158
2024,Indiana,21,6924275
2024,Iowa,,3241488
2024,Kansas,,2970606
2024,Kentucky,17,4588372
2024,Louisiana,19,4597740
2024,Maine,,1405012
2024,Maryland,23,6263220
2024,Massachusetts,18,7136171
2024,Michigan,21,10140459
2024,Minnesota,12,5793151
2024,Mississippi,14,2943045
2024,Missouri,29,6245466
2024,Montana,,1137233
2024,Nebraska,,2005465
2024,Nevada,10,3267467
2024,New Hampshire,,1409032
2024,New Jersey,32,9500851
2024,New Mexico,,2130256
2024,New York,64,19867248
2024,North Carolina,36,11046024
2024,North Dakota,,796568
2024,Ohio,29,11883304
2024,Oklahoma,15,4095393
2024,Oregon,11,4272371
2024,Pennsylvania,21,13078751
2024,Rhode Island,,1112308
2024,South Carolina,22,5478831
2024,Tennessee,27,7227750
2024,Texas,130,31290831
2024,Utah,,3503613
2024,Virginia,26,8811195
2024,Washington,30,7958180
2024,West Virginia,,1769979
2024,Wisconsin,11,5960975
2024,Wyoming,,587618
