"vaccine","geography_type","geography","year_season","dimension_type","dimension","coverage_estimate","population_sample_size"
"Pneumococcal","States","Idaho","2008","Race and Ethnicity","White, Non-Hispanic","83.0","12296"
"Pneumococcal","States","Idaho","2007","Race and Ethnicity","White, Non-Hispanic","81.6","12345"
"Seasonal Influenza","States","Idaho","2009-10","Race and Ethnicity","Hispanic","82.2","174"
"Seasonal Influenza","States","Idaho","2008-09","Race and Ethnicity","Hispanic","82.7","150"
"Seasonal Influenza","States","Idaho","2007-08","Race and Ethnicity","Hispanic","76.0","146"
"Seasonal Influenza","States","Idaho","2006-07","Race and Ethnicity","Hispanic","75.8","132"
"Seasonal Influenza","States","Idaho","2005-06","Race and Ethnicity","Hispanic","66.4","116"
"Seasonal Influenza","States","Idaho","2020-21","Race and Ethnicity","Black, Non-Hispanic","77.1","35"
"Seasonal Influenza","States","Idaho","2019-20","Race and Ethnicity","Black, Non-Hispanic","68.9","45"
"Pneumococcal","States","Idaho","2017","Age","18-24 Years","15.4","13"
"Pneumococcal","States","Idaho","2016","Age","18-24 Years","38.1","21"
"Pneumococcal","States","Idaho","2015","Age","18-24 Years","33.3","24"
"Pneumococcal","States","Idaho","2017","Age","25-44 Years","41.3","213"
"Pneumococcal","States","Idaho","2016","Age","25-44 Years","48.6","222"
"Pneumococcal","States","Idaho","2015","Age","25-44 Years","53.7","216"
"Pneumococcal","States","Idaho","2014","Age","25-44 Years","59.9","252"
"Pneumococcal","States","Idaho","2013","Age","25-44 Years","64.0","239"
"Pneumococcal","States","Idaho","2012","Age","25-44 Years","64.9","225"
"Pneumococcal","States","Idaho","2011","Age","25-44 Years","67.9","218"
"Pneumococcal","States","Idaho","2020","Race and Ethnicity","White, Non-Hispanic","68.0","11113"
"Seasonal Influenza","States","Idaho","2010-11","Race and Ethnicity","Multiple Races, Non-Hispanic","66.7","6"
"Seasonal Influenza","States","Idaho","2019-20","Race and Ethnicity","Hispanic","75.0","188"
"Seasonal Influenza","States","Idaho","2020-21","Race and Ethnicity","Hispanic","74.5","165"
"Seasonal Influenza","States","Idaho","2018-19","Race and Ethnicity","Hispanic","74.1","174"
"Seasonal Influenza","States","Idaho","2017-18","Race and Ethnicity","Hispanic","79.4","175"
"Pneumococcal","States","Idaho","2007","Education","Advanced Degree","79.3","280"
"Pneumococcal","States","Idaho","2014","Age","75-84 Years","78.3","4087"
"Pneumococcal","States","Idaho","2015","Age","75-84 Years","74.8","4088"
"Pneumococcal","States","Idaho","2011","Age",">=85 Years","85.8","4519"
"Pneumococcal","States","Idaho","2010","Age",">=85 Years","87.0","4446"
"Pneumococcal","States","Idaho","2013","Age",">=85 Years","82.3","4194"
"Pneumococcal","States","Idaho","2009","Age",">=85 Years","88.4","4551"
"Pneumococcal","States","Idaho","2008","Age",">=85 Years","86.4","4600"
"Pneumococcal","States","Idaho","2006","Age",">=85 Years","79.6","4685"
"Pneumococcal","States","Idaho","2007","Age",">=85 Years","85.7","4657"
"Pneumococcal","States","Idaho","2012","Age",">=85 Years","84.1","4373"
"Pneumococcal","States","Idaho","2019","Age",">=85 Years","72.4","3848"
"Pneumococcal","States","Idaho","2018","Age",">=85 Years","70.8","3857"
"Pneumococcal","States","Idaho","2017","Age",">=85 Years","71.3","3882"
"Pneumococcal","States","Idaho","2016","Age",">=85 Years","75.9","3903"
"Pneumococcal","States","Idaho","2015","Age",">=85 Years","75.7","3989"
"Pneumococcal","States","Idaho","2014","Age",">=85 Years","80.6","4128"
"Pneumococcal","States","Idaho","2006","Education","High School","74.6","3435"
"Pneumococcal","States","Idaho","2010","Education","< High School","83.9","1083"
"Pneumococcal","States","Idaho","2009","Education","< High School","84.0","1634"
"Pneumococcal","States","Idaho","2008","Education","< High School","82.0","1699"
"Pneumococcal","States","Idaho","2007","Education","< High School","81.6","1727"
"Pneumococcal","States","Idaho","2006","Education","< High School","75.9","1963"
"Pneumococcal","States","Idaho","2020","Age",">=85 Years","71.1","3214"
"Pneumococcal","States","Idaho","2009","Education","High School","82.6","3398"
"Pneumococcal","States","Idaho","2008","Education","High School","80.8","3261"
"Pneumococcal","States","Idaho","2007","Education","High School","79.3","3243"
"Pneumococcal","States","Idaho","2008","Education","Technical or Trade School","82.4","455"
"Pneumococcal","States","Idaho","2007","Education","Technical or Trade School","80.6","509"
"Pneumococcal","States","Idaho","2006","Education","Technical or Trade School","74.3","475"
"Pneumococcal","States","Idaho","2010","Education","High School","81.7","2725"
"Pneumococcal","States","Idaho","2006","Education","Advanced Degree","74.5","271"
"Pneumococcal","States","Idaho","2010","Education","4-Year College","82.9","508"
"Pneumococcal","States","Idaho","2009","Education","4-Year College","82.2","625"
"Pneumococcal","States","Idaho","2008","Education","4-Year College","83.1","602"
"Pneumococcal","States","Idaho","2007","Education","4-Year College","79.4","582"
"Pneumococcal","States","Idaho","2006","Education","4-Year College","68.8","609"
"Pneumococcal","States","Idaho","2010","Education","Technical or Trade School","86.5","355"
"Pneumococcal","States","Idaho","2009","Education","Technical or Trade School","84.9","449"
"Pneumococcal","States","Idaho","2009","Education","Some College","82.3","1592"
"Pneumococcal","States","Idaho","2008","Education","Some College","80.0","1482"
"Pneumococcal","States","Idaho","2007","Education","Some College","78.6","1514"
"Pneumococcal","States","Idaho","2006","Education","Some College","70.8","1467"
"Pneumococcal","States","Idaho","2010","Education","Some College","82.9","1186"
"Pneumococcal","States","Idaho","2010","Marital Status","Never Married","80.6","917"
"Seasonal Influenza","States","Idaho","2006-07","Race and Ethnicity","White, Non-Hispanic","76.1","8689"
"Seasonal Influenza","States","Idaho","2005-06","Race and Ethnicity","White, Non-Hispanic","73.4","8813"
"Seasonal Influenza","States","Idaho","2020-21","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","71.4","7"
"Seasonal Influenza","States","Idaho","2019-20","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","63.6","11"
"Seasonal Influenza","States","Idaho","2018-19","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","84.6","13"
"Seasonal Influenza","States","Idaho","2017-18","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","62.5","8"
"Seasonal Influenza","States","Idaho","2016-17","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","38.5","13"
"Seasonal Influenza","States","Idaho","2012-13","Race and Ethnicity","Multiple Races, Non-Hispanic","NR",
"Seasonal Influenza","States","Idaho","2011-12","Race and Ethnicity","Multiple Races, Non-Hispanic","70.0","10"
"Pneumococcal","States","Idaho","2007","Age","55-64 Years","73.9","947"
"Seasonal Influenza","States","Idaho","2015-16","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","83.3","6"
"Pneumococcal","States","Idaho","2014","Age","55-64 Years","68.9","1410"
"Pneumococcal","States","Idaho","2013","Age","55-64 Years","69.1","1349"
"Pneumococcal","States","Idaho","2012","Age","55-64 Years","72.8","1397"
"Pneumococcal","States","Idaho","2011","Age","55-64 Years","72.7","1415"
"Pneumococcal","States","Idaho","2010","Age","55-64 Years","75.0","1161"
"Pneumococcal","States","Idaho","2009","Age","55-64 Years","73.1","1132"
"Pneumococcal","States","Idaho","2006","Age","55-64 Years","65.1","977"
"Pneumococcal","States","Idaho","2020","Age","45-54 Years","53.0","387"
"Pneumococcal","States","Idaho","2008","Age","55-64 Years","71.5","1001"
"Pneumococcal","States","Idaho","2019","Age","45-54 Years","55.3","445"
"Pneumococcal","States","Idaho","2018","Age","45-54 Years","53.8","463"
"Pneumococcal","States","Idaho","2017","Age","45-54 Years","52.0","510"
"Seasonal Influenza","States","Idaho","2016-17","Race and Ethnicity","Multiple Races, Non-Hispanic","66.7","9"
"Seasonal Influenza","States","Idaho","2015-16","Race and Ethnicity","Multiple Races, Non-Hispanic","80.0","5"
"Seasonal Influenza","States","Idaho","2014-15","Race and Ethnicity","Multiple Races, Non-Hispanic","62.5","8"
"Seasonal Influenza","States","Idaho","2013-14","Race and Ethnicity","Multiple Races, Non-Hispanic","NR",
"Pneumococcal","States","Idaho","2008","Age","45-54 Years","69.0","468"
"Pneumococcal","States","Idaho","2007","Age","45-54 Years","68.5","457"
"Pneumococcal","States","Idaho","2006","Age","45-54 Years","61.6","476"
"Pneumococcal","States","Idaho","2020","Age","25-44 Years","46.7","152"
"Pneumococcal","States","Idaho","2009","Age","45-54 Years","73.8","511"
"Pneumococcal","States","Idaho","2019","Age","25-44 Years","42.5","179"
"Pneumococcal","States","Idaho","2018","Age","25-44 Years","50.7","219"
"Seasonal Influenza","States","Idaho","2019-20","Race and Ethnicity","Multiple Races, Non-Hispanic","72.7","11"
"Pneumococcal","States","Idaho","2010","Age","75-84 Years","85.2","4123"
"Pneumococcal","States","Idaho","2009","Age","75-84 Years","86.0","4215"
"Pneumococcal","States","Idaho","2008","Age","75-84 Years","85.4","4224"
"Pneumococcal","States","Idaho","2007","Age","75-84 Years","83.4","4359"
"Seasonal Influenza","States","Idaho","2018-19","Race and Ethnicity","Multiple Races, Non-Hispanic","83.3","6"
"Seasonal Influenza","States","Idaho","2017-18","Race and Ethnicity","Multiple Races, Non-Hispanic","5.0","100"
"Seasonal Influenza","States","Idaho","2014-15","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","80.0","5"
"Seasonal Influenza","States","Idaho","2013-14","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","55.6","9"
"Seasonal Influenza","States","Idaho","2012-13","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","NR",
"Seasonal Influenza","States","Idaho","2011-12","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","77.8","9"
"Seasonal Influenza","States","Idaho","2010-11","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","72.7","11"
"Seasonal Influenza","States","Idaho","2020-21","Race and Ethnicity","Multiple Races, Non-Hispanic","100.0","4"
"Pneumococcal","States","Idaho","2015","Age","45-54 Years","58.5","528"
"Pneumococcal","States","Idaho","2014","Age","45-54 Years","65.1","541"
"Pneumococcal","States","Idaho","2016","Age","45-54 Years","59.9","554"
"Pneumococcal","States","Idaho","2013","Age","45-54 Years","66.3","546"
"Pneumococcal","States","Idaho","2012","Age","45-54 Years","67.8","562"
"Pneumococcal","States","Idaho","2011","Age","45-54 Years","69.9","565"
"Pneumococcal","States","Idaho","2010","Age","45-54 Years","68.1","568"
"Pneumococcal","States","Idaho","2013","Age","65-74 Years","74.7","2975"
"Pneumococcal","States","Idaho","2012","Age","65-74 Years","78.2","2781"
"Pneumococcal","States","Idaho","2011","Age","65-74 Years","78.7","2727"
"Pneumococcal","States","Idaho","2010","Age","65-74 Years","81.3","2512"
"Pneumococcal","States","Idaho","2009","Age","65-74 Years","82.2","2377"
"Pneumococcal","States","Idaho","2008","Age","65-74 Years","82.1","2192"
"Seasonal Influenza","States","Idaho","2013-14","Race and Ethnicity","White, Non-Hispanic","71.8","8157"
"Seasonal Influenza","States","Idaho","2012-13","Race and Ethnicity","White, Non-Hispanic","74.3","8482"
"Seasonal Influenza","States","Idaho","2011-12","Race and Ethnicity","White, Non-Hispanic","74.8","8542"
"Seasonal Influenza","States","Idaho","2010-11","Race and Ethnicity","White, Non-Hispanic","75.6","8635"
"Pneumococcal","States","Idaho","2019","Marital Status","Never Married","64.7","1506"
"Seasonal Influenza","States","Idaho","2009-10","Race and Ethnicity","White, Non-Hispanic","78.7","8619"
"Seasonal Influenza","States","Idaho","2008-09","Race and Ethnicity","White, Non-Hispanic","79.2","8462"
"Seasonal Influenza","States","Idaho","2007-08","Race and Ethnicity","White, Non-Hispanic","77.6","8589"
"Pneumococcal","States","Idaho","2015","Age","55-64 Years","66.0","1428"
"Pneumococcal","States","Idaho","2006","Age","65-74 Years","74.2","2125"
"Pneumococcal","States","Idaho","2020","Age","55-64 Years","61.4","1277"
"Pneumococcal","States","Idaho","2019","Age","55-64 Years","61.0","1477"
"Pneumococcal","States","Idaho","2018","Age","55-64 Years","59.4","1465"
"Pneumococcal","States","Idaho","2017","Age","55-64 Years","60.2","1489"
"Pneumococcal","States","Idaho","2016","Age","55-64 Years","64.6","1447"
"Pneumococcal","States","Idaho","2006","Age","75-84 Years","77.4","4428"
"Pneumococcal","States","Idaho","2020","Age","65-74 Years","66.9","2939"
"Seasonal Influenza","States","Idaho","2019-20","Race and Ethnicity","White, Non-Hispanic","72.3","8548"
"Seasonal Influenza","States","Idaho","2020-21","Race and Ethnicity","White, Non-Hispanic","71.2","6831"
"Seasonal Influenza","States","Idaho","2018-19","Race and Ethnicity","White, Non-Hispanic","72.7","8588"
"Seasonal Influenza","States","Idaho","2017-18","Race and Ethnicity","White, Non-Hispanic","72.5","8390"
"Seasonal Influenza","States","Idaho","2016-17","Race and Ethnicity","White, Non-Hispanic","71.9","8280"
"Seasonal Influenza","States","Idaho","2015-16","Race and Ethnicity","White, Non-Hispanic","74.9","8226"
"Seasonal Influenza","States","Idaho","2014-15","Race and Ethnicity","White, Non-Hispanic","73.8","8206"
"Pneumococcal","States","Idaho","2007","Age","65-74 Years","77.8","2128"
"Pneumococcal","States","Idaho","2019","Age","65-74 Years","68.4","3494"
"Pneumococcal","States","Idaho","2018","Age","65-74 Years","68.4","3404"
"Pneumococcal","States","Idaho","2017","Age","65-74 Years","65.2","3409"
"Pneumococcal","States","Idaho","2016","Age","65-74 Years","70.3","3200"
"Pneumococcal","States","Idaho","2015","Age","65-74 Years","72.4","3125"
"Seasonal Influenza","States","Idaho","2011-12","Sex","Female","75.4","5551"
"Seasonal Influenza","States","Idaho","2010-11","Sex","Female","76.2","5749"
"Seasonal Influenza","States","Idaho","2009-10","Sex","Female","79.6","5648"
"Seasonal Influenza","States","Idaho","2008-09","Sex","Female","79.8","5620"
"Seasonal Influenza","States","Idaho","2007-08","Sex","Female","78.6","5738"
"Seasonal Influenza","States","Idaho","2006-07","Sex","Female","76.5","5827"
"Seasonal Influenza","States","Idaho","2005-06","Sex","Female","73.7","5971"
"Pneumococcal","States","Idaho","2014","Age","65-74 Years","73.2","3010"
"Pneumococcal","States","Idaho","2012","Marital Status","Never Married","75.7","1187"
"Pneumococcal","States","Idaho","2011","Marital Status","Never Married","78.5","1129"
"Pneumococcal","States","Idaho","2016","Marital Status","Never Married","66.7","1392"
"Pneumococcal","States","Idaho","2014","Marital Status","Never Married","74.3","1227"
"Pneumococcal","States","Idaho","2013","Marital Status","Never Married","74.0","1218"
"Pneumococcal","States","Idaho","2015","Marital Status","Never Married","69.6","1345"
"Pneumococcal","States","Idaho","2017","Marital Status","Never Married","61.3","1466"
"Pneumococcal","States","Idaho","2008","Education","Advanced Degree","84.5","297"
"Pneumococcal","States","Idaho","2006","Marital Status","Married","76.3","3745"
"Pneumococcal","States","Idaho","2020","Marital Status","Never Married","63.6","1394"
"Pneumococcal","States","Idaho","2018","Marital Status","Never Married","61.9","1398"
"Pneumococcal","States","Idaho","2007","Marital Status","Never Married","76.9","847"
"Pneumococcal","States","Idaho","2006","Marital Status","Never Married","72.1","845"
"Pneumococcal","States","Idaho","2010","Education","Advanced Degree","84.1","264"
"Pneumococcal","States","Idaho","2009","Education","Advanced Degree","81.7","322"
"Pneumococcal","States","Idaho","2009","Marital Status","Never Married","81.6","930"
"Pneumococcal","States","Idaho","2008","Marital Status","Never Married","79.4","929"
"Pneumococcal","States","Idaho","2008","Marital Status","Married","81.7","3636"
"Pneumococcal","States","Idaho","2007","Marital Status","Married","79.9","3655"
"Pneumococcal","States","Idaho","2008","Sex","Female","83.5","8075"
"Pneumococcal","States","Idaho","2015","Marital Status","Married","72.0","4542"
"Pneumococcal","States","Idaho","2014","Marital Status","Married","73.7","4509"
"Pneumococcal","States","Idaho","2013","Marital Status","Married","75.2","4541"
"Pneumococcal","States","Idaho","2012","Marital Status","Married","78.0","4449"
"Pneumococcal","States","Idaho","2011","Marital Status","Married","79.1","4418"
"Pneumococcal","States","Idaho","2010","Marital Status","Married","80.8","3921"
"Pneumococcal","States","Idaho","2009","Marital Status","Married","83.2","3919"
"Pneumococcal","States","Idaho","2012","Sex","Female","80.7","8360"
"Pneumococcal","States","Idaho","2011","Sex","Female","81.8","8557"
"Pneumococcal","States","Idaho","2010","Sex","Female","83.9","8244"
"Pneumococcal","States","Idaho","2009","Sex","Female","84.8","8203"
"Pneumococcal","States","Idaho","2019","Marital Status","Separated","64.5","138"
"Pneumococcal","States","Idaho","2020","Marital Status","Separated","66.7","102"
"Pneumococcal","States","Idaho","2018","Marital Status","Separated","62.9","105"
"Pneumococcal","States","Idaho","2017","Marital Status","Separated","55.4","101"
"Pneumococcal","States","Idaho","2016","Marital Status","Separated","65.9","126"
"Pneumococcal","States","Idaho","2015","Marital Status","Separated","68.3","126"
"Pneumococcal","States","Idaho","2014","Sex","Female","76.8","8156"
"Pneumococcal","States","Idaho","2013","Sex","Female","77.8","8219"
"Pneumococcal","States","Idaho","2006","Sex","Male","74.0","4555"
"Pneumococcal","States","Idaho","2007","Marital Status","Divorced","80.3","1327"
"Pneumococcal","States","Idaho","2019","Sex","Female","70.2","8307"
"Pneumococcal","States","Idaho","2020","Sex","Female","68.6","6994"
"Pneumococcal","States","Idaho","2018","Sex","Female","68.7","8234"
"Pneumococcal","States","Idaho","2017","Sex","Female","67.2","8152"
"Pneumococcal","States","Idaho","2016","Sex","Female","71.4","8041"
"Pneumococcal","States","Idaho","2015","Sex","Female","72.5","8149"
"Pneumococcal","States","Idaho","2006","Marital Status","Divorced","71.5","1304"
"Pneumococcal","States","Idaho","2013","Marital Status","Divorced","76.7","1869"
"Pneumococcal","States","Idaho","2012","Marital Status","Divorced","78.9","1833"
"Pneumococcal","States","Idaho","2008","Marital Status","Separated","73.9","134"
"Pneumococcal","States","Idaho","2012","Marital Status","Separated","67.5","123"
"Pneumococcal","States","Idaho","2011","Marital Status","Separated","66.7","90"
"Pneumococcal","States","Idaho","2010","Marital Status","Separated","74.8","111"
"Pneumococcal","States","Idaho","2009","Marital Status","Separated","78.4","97"
"Pneumococcal","States","Idaho","2014","Marital Status","Separated","60.5","124"
"Pneumococcal","States","Idaho","2013","Marital Status","Separated","58.1","117"
"Pneumococcal","States","Idaho","2011","Marital Status","Divorced","79.0","1826"
"Pneumococcal","States","Idaho","2010","Marital Status","Divorced","81.7","1558"
"Pneumococcal","States","Idaho","2009","Marital Status","Divorced","82.1","1494"
"Pneumococcal","States","Idaho","2008","Marital Status","Divorced","81.0","1360"
"Pneumococcal","States","Idaho","2016","Marital Status","Married","71.0","4548"
"Pneumococcal","States","Idaho","2017","Marital Status","Married","66.3","4733"
"Pneumococcal","States","Idaho","2007","Marital Status","Separated","67.5","123"
"Pneumococcal","States","Idaho","2006","Marital Status","Separated","70.8","96"
"Pneumococcal","States","Idaho","2020","Marital Status","Married","68.0","3828"
"Pneumococcal","States","Idaho","2019","Marital Status","Married","68.5","4832"
"Pneumococcal","States","Idaho","2018","Marital Status","Married","67.5","4715"
"Pneumococcal","States","Idaho","2007","Sex","Female","82.0","8247"
"Pneumococcal","States","Idaho","2006","Sex","Female","76.6","8363"
"Pneumococcal","States","Idaho","2015","Marital Status","Widowed","74.9","4696"
"Pneumococcal","States","Idaho","2014","Marital Status","Widowed","79.2","4923"
"Pneumococcal","States","Idaho","2017","Marital Status","Divorced","63.4","2111"
"Pneumococcal","States","Idaho","2016","Marital Status","Divorced","69.7","1980"
"Pneumococcal","States","Idaho","2015","Marital Status","Divorced","70.5","1990"
"Pneumococcal","States","Idaho","2013","Sex","Male","76.3","5211"
"Pneumococcal","States","Idaho","2012","Sex","Male","79.0","5143"
"Pneumococcal","States","Idaho","2011","Sex","Male","79.3","5019"
"Pneumococcal","States","Idaho","2010","Sex","Male","81.5","4787"
"Pneumococcal","States","Idaho","2014","Marital Status","Divorced","75.4","1912"
"Pneumococcal","States","Idaho","2006","Marital Status","Widowed","78.7","5471"
"Pneumococcal","States","Idaho","2020","Marital Status","Divorced","65.7","2102"
"Pneumococcal","States","Idaho","2019","Marital Status","Divorced","68.5","2376"
"Pneumococcal","States","Idaho","2018","Marital Status","Divorced","66.9","2302"
"Pneumococcal","States","Idaho","2009","Sex","Male","82.9","4795"
"Pneumococcal","States","Idaho","2008","Sex","Male","82.2","4648"
"Pneumococcal","States","Idaho","2007","Sex","Male","80.6","4520"
"Pneumococcal","States","Idaho","2013","Marital Status","Widowed","80.7","5026"
"Pneumococcal","States","Idaho","2012","Marital Status","Widowed","83.1","5220"
"Pneumococcal","States","Idaho","2011","Marital Status","Widowed","83.8","5441"
"Pneumococcal","States","Idaho","2010","Marital Status","Widowed","86.0","5033"
"Pneumococcal","States","Idaho","2009","Marital Status","Widowed","86.7","5143"
"Pneumococcal","States","Idaho","2008","Marital Status","Widowed","85.6","5318"
"Pneumococcal","States","Idaho","2007","Marital Status","Widowed","84.9","5338"
"Pneumococcal","States","Idaho","2019","Sex","Male","67.2","5742"
"Pneumococcal","States","Idaho","2020","Sex","Male","66.7","4825"
"Pneumococcal","States","Idaho","2018","Sex","Male","66.4","5588"
"Pneumococcal","States","Idaho","2017","Sex","Male","65.2","5559"
"Pneumococcal","States","Idaho","2016","Sex","Male","70.9","5299"
"Pneumococcal","States","Idaho","2015","Sex","Male","72.4","5227"
"Pneumococcal","States","Idaho","2014","Sex","Male","74.6","5267"
"Seasonal Influenza","States","Georgia","2006-07","Age","55-64 Years","73.6","4452"
"Seasonal Influenza","States","Georgia","2007-08","Age","55-64 Years","76.4","4609"
"Seasonal Influenza","States","Georgia","2008-09","Age","55-64 Years","76.6","4864"
"Seasonal Influenza","States","Georgia","2009-10","Age","55-64 Years","76.2","5128"
"Seasonal Influenza","States","Georgia","2010-11","Age","55-64 Years","71.7","5478"
"Seasonal Influenza","States","Georgia","2011-12","Age","55-64 Years","71.5","6001"
"Seasonal Influenza","States","Georgia","2012-13","Age","55-64 Years","71.9","6080"
"Seasonal Influenza","States","Georgia","2015-16","Age","45-54 Years","66.4","2318"
"Seasonal Influenza","States","Georgia","2016-17","Age","45-54 Years","67.4","2174"
"Seasonal Influenza","States","Georgia","2017-18","Age","45-54 Years","64.6","2198"
"Seasonal Influenza","States","Georgia","2018-19","Age","45-54 Years","65.3","2166"
"Seasonal Influenza","States","Georgia","2019-20","Age","45-54 Years","65.4","1968"
"Seasonal Influenza","States","Georgia","2020-21","Age","45-54 Years","63.2","1852"
"Seasonal Influenza","States","Georgia","2005-06","Age","55-64 Years","67.3","4333"
"Seasonal Influenza","States","Georgia","2008-09","Age","45-54 Years","76.4","2131"
"Seasonal Influenza","States","Georgia","2009-10","Age","45-54 Years","75.0","2252"
"Seasonal Influenza","States","Georgia","2010-11","Age","45-54 Years","71.5","2282"
"Seasonal Influenza","States","Georgia","2011-12","Age","45-54 Years","70.3","2429"
"Seasonal Influenza","States","Georgia","2012-13","Age","45-54 Years","69.7","2346"
"Seasonal Influenza","States","Georgia","2013-14","Age","45-54 Years","70.7","2360"
"Seasonal Influenza","States","Georgia","2014-15","Age","45-54 Years","69.5","2296"
"Seasonal Influenza","States","Georgia","2007-08","Age","45-54 Years","77.8","2088"
"Seasonal Influenza","States","Georgia","2017-18","Age","25-44 Years","63.2","839"
"Seasonal Influenza","States","Georgia","2018-19","Age","25-44 Years","64.4","835"
"Seasonal Influenza","States","Georgia","2019-20","Age","25-44 Years","63.6","829"
"Seasonal Influenza","States","Georgia","2020-21","Age","25-44 Years","64.7","751"
"Seasonal Influenza","States","Georgia","2005-06","Age","45-54 Years","64.4","2054"
"Seasonal Influenza","States","Georgia","2006-07","Age","45-54 Years","74.5","2105"
"Seasonal Influenza","States","Georgia","2016-17","Age","25-44 Years","65.5","857"
"Seasonal Influenza","States","Georgia","2011-12","Age","25-44 Years","73.2","873"
"Seasonal Influenza","States","Georgia","2012-13","Age","25-44 Years","72.7","887"
"Seasonal Influenza","States","Georgia","2013-14","Age","25-44 Years","72.2","853"
"Seasonal Influenza","States","Georgia","2014-15","Age","25-44 Years","68.0","825"
"Seasonal Influenza","States","Georgia","2015-16","Age","25-44 Years","67.7","870"
"Seasonal Influenza","States","Missouri","2006-07","Age","55-64 Years","71.7","4533"
"Seasonal Influenza","States","Missouri","2007-08","Age","55-64 Years","73.9","4786"
"Seasonal Influenza","States","Missouri","2008-09","Age","55-64 Years","76.8","5095"
"Seasonal Influenza","States","Missouri","2009-10","Age","55-64 Years","77.9","5480"
"Seasonal Influenza","States","Missouri","2010-11","Age","55-64 Years","72.7","5657"
"Seasonal Influenza","States","Missouri","2011-12","Age","55-64 Years","75.3","6084"
"Seasonal Influenza","States","Missouri","2012-13","Age","55-64 Years","74.8","6230"
"Seasonal Influenza","States","Missouri","2015-16","Age","45-54 Years","72.4","2754"
"Seasonal Influenza","States","Missouri","2016-17","Age","45-54 Years","72.1","2657"
"Seasonal Influenza","States","Missouri","2017-18","Age","45-54 Years","72.4","2536"
"Seasonal Influenza","States","Missouri","2018-19","Age","45-54 Years","72.3","2456"
"Seasonal Influenza","States","Missouri","2020-21","Age","45-54 Years","69.5","2064"
"Seasonal Influenza","States","Missouri","2019-20","Age","45-54 Years","71.9","2390"
"Seasonal Influenza","States","Missouri","2005-06","Age","55-64 Years","69.3","4236"
"Seasonal Influenza","States","Missouri","2012-13","Age","45-54 Years","75.3","2847"
"Seasonal Influenza","States","Missouri","2013-14","Age","45-54 Years","73.5","2864"
"Seasonal Influenza","States","Missouri","2014-15","Age","45-54 Years","75.4","2773"
"Seasonal Influenza","States","Missouri","2007-08","Age","45-54 Years","70.4","2789"
"Seasonal Influenza","States","Missouri","2008-09","Age","45-54 Years","74.8","2896"
"Seasonal Influenza","States","Missouri","2009-10","Age","45-54 Years","77.4","2873"
"Seasonal Influenza","States","Missouri","2010-11","Age","45-54 Years","72.8","2849"
"Seasonal Influenza","States","Missouri","2011-12","Age","45-54 Years","72.4","2901"
"Seasonal Influenza","States","Missouri","2016-17","Age","25-44 Years","75.4","1517"
"Seasonal Influenza","States","Missouri","2017-18","Age","25-44 Years","73.3","1584"
"Seasonal Influenza","States","Missouri","2018-19","Age","25-44 Years","70.9","1628"
"Seasonal Influenza","States","Missouri","2020-21","Age","25-44 Years","71.3","1548"
"Seasonal Influenza","States","Missouri","2019-20","Age","25-44 Years","72.4","1596"
"Seasonal Influenza","States","Missouri","2005-06","Age","45-54 Years","67.0","2439"
"Seasonal Influenza","States","Missouri","2006-07","Age","45-54 Years","68.2","2685"
"Seasonal Influenza","States","Missouri","2011-12","Age","25-44 Years","74.5","1339"
"Seasonal Influenza","States","Missouri","2012-13","Age","25-44 Years","76.2","1379"
"Seasonal Influenza","States","Missouri","2013-14","Age","25-44 Years","73.7","1400"
"Seasonal Influenza","States","Missouri","2014-15","Age","25-44 Years","76.4","1447"
"Seasonal Influenza","States","Missouri","2015-16","Age","25-44 Years","70.6","1499"
"Seasonal Influenza","States","Tennessee","2008-09","Marital Status","Married","81.9","10862"
"Seasonal Influenza","States","Tennessee","2007-08","Marital Status","Married","79.7","10563"
"Seasonal Influenza","States","Tennessee","2009-10","Marital Status","Married","79.0","11467"
"Seasonal Influenza","States","Tennessee","2006-07","Marital Status","Married","77.3","10502"
"Seasonal Influenza","States","Tennessee","2005-06","Marital Status","Married","70.4","10775"
"Seasonal Influenza","States","Tennessee","2020-21","Marital Status","Never Married","68.1","7247"
"Seasonal Influenza","States","Tennessee","2019-20","Marital Status","Never Married","68.0","7844"
"Seasonal Influenza","States","Tennessee","2018-19","Marital Status","Never Married","69.6","7426"
"Seasonal Influenza","States","Tennessee","2014-15","Marital Status","Separated","71.9","652"
"Seasonal Influenza","States","Tennessee","2015-16","Marital Status","Married","74.8","15308"
"Seasonal Influenza","States","Tennessee","2014-15","Marital Status","Married","75.5","15262"
