"reporting_area","mmwr_year","mmwr_week","gonorrhea_current_week","gonorrhea_current_week_flag","gonorrhea_previous_52_weeks_max","gonorrhea_previous_52_weeks_max_flag","gonorrhea_cum_2019","gonorrhea_cum_2019_flag","gonorrhea_cum_2018","gonorrhea_cum_2018_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_current_week","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_current_week_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_previous_52_weeks_max","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_previous_52_weeks_max_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2019","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2019_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2018","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2018_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_current_week","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_current_week_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_previous_52_weeks_max","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_previous_52_weeks_max_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2019","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2019_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2018","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2018_flag","location_1","location_2"
"WASHINGTON","2019","6",,"-","230",,"786",,"917",,,"-","2",,,"-","2",,,"-","1",,,"-","1",,"
, WASHINGTON 
(47.517368, -120.467672)",
"MICHIGAN","2019","6","128",,"449",,"1342",,"1708",,,"-","7",,"9",,"29",,,"-","1",,,"-",,"-","
, MICHIGAN 
(44.66399, -84.711206)",
"RHODE ISLAND","2019","6","12",,"125",,"26",,"56",,,"-","4",,"1",,"1",,,"-","1",,,"-",,"-","
, RHODE ISLAND 
(41.707447, -71.522488)",
"TEXAS","2019","6",,"-","1070",,,"-","5383",,,"-","39",,"21",,"45",,,"-","1",,"1",,,"-","
, TEXAS 
(31.827233, -99.423022)",
"KANSAS","2019","6","48",,"131",,"563",,"522",,,"-","2",,,"-","3",,,"-","0",,,"-",,"-","
, KANSAS 
(38.345528, -98.201847)",
"PUERTO RICO","2019","6",,"-","19",,"13",,"44",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, PUERTO RICO 
(18.215692, -66.414655)",
"MASSACHUSETTS","2019","6",,"-","190",,"698",,"961",,,"-","7",,,"-","19",,,"-","1",,,"-",,"-","
, MASSACHUSETTS 
(42.268546, -72.085064)",
"SOUTH DAKOTA","2019","6","1",,"50",,"110",,"194",,,"-","2",,"2",,"5",,,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.35371, -100.373709)",
"SOUTH CAROLINA","2019","6",,"-","518",,,"-","1723",,,"-","6",,"8",,"20",,,"-","0",,,"-",,"-","
, SOUTH CAROLINA 
(34.009286, -81.037094)",
"INDIANA","2019","6",,"-","320",,,"-","1345",,,"-","7",,"15",,"25",,,"-","2",,,"-",,"-","
, INDIANA 
(39.76845, -86.156212)",
"ALABAMA","2019","6","199",,"389",,"1339",,"1409",,,"-","6",,"13",,"19",,,"-","0",,,"-",,"-","
, ALABAMA 
(32.839182, -86.631125)",
"ILLINOIS","2019","6","33",,"572",,"710",,"2754",,,"-","11",,"13",,"28",,,"-","2",,,"-",,"-","
, ILLINOIS 
(40.477092, -88.993221)",
"NEW HAMPSHIRE","2019","6","2",,"24",,"56",,"69",,"1",,"3",,"5",,"9",,,"-","0",,,"-","1",,"
, NEW HAMPSHIRE 
(43.657736, -71.500736)",
"CALIFORNIA","2019","6",,"-","1773",,"6065",,"9223",,,"-","3",,"1",,"9",,,"-","0",,,"-",,"-","
, CALIFORNIA 
(37.640735, -121.002435)",
"OKLAHOMA","2019","6","20",,"182",,"510",,"846",,,"-","8",,"12",,"9",,,"-","0",,,"-",,"-","
, OKLAHOMA 
(35.468494, -97.521264)",
"MINNESOTA","2019","6",,"-","192",,,"-","878",,,"-","3",,,"-","3",,,"-","0",,,"-",,"-","
, MINNESOTA 
(46.357661, -94.793397)",
"NEVADA","2019","6",,"-","157",,"20",,"659",,,"-","5",,"4",,"3",,,"-","0",,,"-",,"-","
, NEVADA 
(39.491833, -117.070159)",
"MISSISSIPPI","2019","6",,"-","262",,"630",,"1147",,"1",,"4",,"9",,"13",,,"-","0",,,"-",,"-","
, MISSISSIPPI 
(32.738663, -89.537312)",
"NEW YORK","2019","6","218",,"389",,"978",,"1091",,"9",,"15",,"28",,"26",,,"-","1",,,"-",,"-","
, NEW YORK 
(42.826892, -75.544286)",
"WEST VIRGINIA","2019","6",,"-","43",,,"-","111",,,"-","4",,"2",,"9",,,"-","1",,,"-",,"-","
, WEST VIRGINIA 
(38.668501, -80.709421)",
"OHIO","2019","6","265",,"592",,"2613",,"2723",,"6",,"14",,"47",,"38",,,"-","1",,,"-",,"-","
, OHIO 
(40.056807, -82.405897)",
"VERMONT","2019","6",,"-","11",,,"-","1",,"1",,"3",,"1",,"3",,,"-","0",,,"-",,"-","
, VERMONT 
(43.622479, -72.51927)",
"MONTANA","2019","6",,"-","36",,"114",,"120",,,"-","2",,"4",,"4",,,"-","1",,,"-",,"-","
, MONTANA 
(47.062617, -109.430168)",
"LOUISIANA","2019","6",,"-","285",,"778",,"1243",,,"-","5",,"2",,"16",,,"-","0",,,"-",,"-","
, LOUISIANA 
(31.2931, -92.463284)",
"NEBRASKA","2019","6",,"-","106",,,"-","299",,,"-","3",,"3",,"3",,,"-","1",,,"-",,"-","
, NEBRASKA 
(41.640503, -99.367122)",
"CONNECTICUT","2019","6",,"U",,"NC",,"U",,"U",,"-","5",,,"-","5",,,"-","0",,,"-",,"-","
, CONNECTICUT 
(41.544654, -72.651713)",
"IDAHO","2019","6","33",,"44",,"162",,"117",,,"-","3",,"6",,"4",,,"-","0",,,"-",,"-","
, IDAHO 
(43.680635, -114.364237)",
"FLORIDA","2019","6","402",,"761",,"3083",,"3258",,"3",,"14",,"33",,"55",,,"-","0",,,"-",,"-","
, FLORIDA 
(28.915325, -81.922409)",
"MAINE","2019","6","2",,"25",,"59",,"77",,,"-","3",,"3",,"6",,,"-","0",,,"-",,"-","
, MAINE 
(45.252223, -68.986647)",
"NEW JERSEY","2019","6","57",,"217",,"745",,"965",,,"-","10",,"5",,"25",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.104655, -74.386686)",
"TENNESSEE","2019","6","106",,"398",,"1198",,"1472",,,"-","8",,"19",,"33",,,"-","0",,,"-",,"-","
, TENNESSEE 
(35.681402, -85.774444)",
"DISTRICT OF COLUMBIA","2019","6",,"-","107",,,"-","530",,,"-","3",,"2",,"2",,,"-","0",,,"-",,"-","
, DISTRICT OF COLUMBIA 
(38.892062, -77.019912)",
"MISSOURI","2019","6","250",,"389",,"1774",,"1783",,"1",,"8",,"16",,"34",,,"-","0",,,"-",,"-","
, MISSOURI 
(38.636168, -92.566292)",
"MARYLAND","2019","6",,"-","243",,"260",,"1253",,"2",,"8",,"19",,"23",,,"-","0",,,"-",,"-","
, MARYLAND 
(39.290443, -76.612333)",
"IOWA","2019","6","48",,"119",,"567",,"491",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, IOWA 
(42.46942, -93.815856)",
"U.S. VIRGIN ISLANDS","2019","6",,"-","4",,,"-","6",,,"N",,"NC",,"N",,"N",,"-","0",,,"-",,"-","
, VIRGIN ISLANDS 
(18.060868, -64.840836)",
"ARKANSAS","2019","6",,"-","165",,"81",,"782",,"2",,"8",,"7",,"2",,,"-","0",,,"-",,"-","
, ARKANSAS 
(34.748745, -92.275105)",
"ALASKA","2019","6",,"-","58",,,"-","260",,"1",,"2",,"1",,"5",,,"-","0",,,"-",,"-","
, ALASKA 
(64.836661, -147.738891)",
"NORTH CAROLINA","2019","6",,"-","517",,"588",,"2662",,,"-","7",,"6",,"31",,,"-","1",,,"-",,"-","
, NORTH CAROLINA 
(35.47995, -79.180571)",
"OREGON","2019","6","116",,"158",,"631",,"673",,"1",,"7",,"12",,"15",,,"-","0",,,"-",,"-","
, OREGON 
(44.567912, -120.156945)",
"VIRGINIA","2019","6","264",,"430",,"1520",,"1163",,,"-","8",,"20",,"17",,,"-","0",,,"-",,"-","
, VIRGINIA 
(37.542699, -78.45822)",
"DELAWARE","2019","6",,"-","79",,,"-","184",,,"-","3",,"3",,"3",,,"-","0",,,"-",,"-","
, DELAWARE 
(39.008676, -75.574561)",
"KENTUCKY","2019","6",,"-","215",,,"-","395",,,"-","7",,"10",,"19",,,"-","1",,,"-",,"-","
, KENTUCKY 
(37.64591, -84.774043)",
"COLORADO","2019","6","197",,"270",,"951",,"1000",,,"-","5",,"15",,"19",,,"-","1",,,"-",,"-","
, COLORADO 
(38.841772, -106.132562)",
"HAWAII","2019","6",,"-","67",,,"-","314",,"1",,"4",,"5",,"6",,,"-","0",,,"-",,"-","
, HAWAII 
(21.30992, -157.858158)",
"NORTHERN MARIANA ISLANDS","2019","6",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, NORTHERN MARIANA ISLANDS 
(15.1834, 145.725693)",
"ARIZONA","2019","6","56",,"306",,"1176",,"1428",,"3",,"6",,"23",,"21",,,"-","1",,,"-",,"-","
, ARIZONA 
(34.869712, -111.760902)",
"GUAM","2019","6",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, GUAM 
(13.3532, 144.653198)",
"NEW MEXICO","2019","6","6",,"136",,"309",,"581",,,"-","5",,"10",,"8",,,"-","0",,,"-","1",,"
, NEW MEXICO 
(34.520396, -106.244402)",
"GEORGIA","2019","6","166",,"436",,"713",,"2251",,"3",,"14",,"24",,"38",,,"-","0",,,"-",,"-","
, GEORGIA 
(32.836038, -83.631709)",
"NORTH DAKOTA","2019","6","4",,"38",,"93",,"129",,,"-","2",,"2",,"2",,,"-","0",,,"-",,"-","
, NORTH DAKOTA 
(47.475879, -100.121011)",
"PENNSYLVANIA","2019","6","188",,"551",,"1620",,"2489",,"4",,"12",,"36",,"35",,,"-","0",,,"-",,"-","
, PENNSYLVANIA 
(40.789676, -77.858055)",
"UTAH","2019","6","35",,"81",,"282",,"297",,,"-","3",,"6",,"9",,,"-","0",,,"-",,"-","
, UTAH 
(39.359772, -111.584173)",
"WISCONSIN","2019","6","110",,"200",,"854",,"904",,,"-","6",,"8",,"15",,,"-","1",,,"-",,"-","
, WISCONSIN 
(44.395526, -89.834513)",
"US RESIDENTS","2019","7","3120",,"12297",,"45757",,"73772",,"60",,"165",,"632",,"912",,,"-","3",,"1",,"3",,,"
, US RESIDENTS "
"NEW ENGLAND","2019","7","12",,"286",,"863",,"1390",,,"-","12",,"12",,"47",,,"-","1",,,"-","1",,,"
, NEW ENGLAND "
"MIDDDLE ATLANTIC","2019","7","816",,"1640",,"7105",,"8330",,"15",,"27",,"100",,"124",,,"-","1",,,"-",,"-",,"
, MIDDDLE ATLANTIC "
"NEW YORK CITY","2019","7","337",,"690",,"3155",,"3079",,"7",,"8",,"19",,"24",,,"-","0",,,"-",,"-",,"
, NEW YORK CITY "
"EAST NORTH CENTRAL","2019","7","482",,"1980",,"6609",,"10821",,"8",,"33",,"112",,"154",,,"-","2",,,"-",,"-",,"
, EAST NORTH CENTRAL "
"WEST NORTH CENTRAL","2019","7","249",,"908",,"3667",,"4963",,"4",,"9",,"31",,"55",,,"-","1",,,"-",,"-",,"
, WEST NORTH CENTRAL "
"SOUTH ATLANTIC","2019","7","767",,"2536",,"7879",,"15482",,"18",,"37",,"145",,"222",,,"-","1",,,"-",,"-",,"
, SOUTH ATLANTIC "
"EAST SOUTH CENTRAL","2019","7","90",,"1011",,"3257",,"5119",,,"-","17",,"53",,"99",,,"-","1",,,"-",,"-",,"
, EAST SOUTH CENTRAL "
"WEST SOUTH CENTRAL","2019","7","73",,"1605",,"1783",,"9605",,"7",,"54",,"77",,"87",,,"-","1",,"1",,,"-",,"
, WEST SOUTH CENTRAL "
"MOUNTAIN","2019","7","230",,"890",,"3565",,"4992",,"8",,"16",,"80",,"80",,,"-","1",,,"-","1",,,"
, MOUNTAIN "
"PACIFIC","2019","7","401",,"2120",,"11029",,"13070",,,"-","8",,"22",,"44",,,"-","1",,,"-","1",,,"
, PACIFIC "
"US TERRITORIES","2019","7","7",,"19",,"32",,"68",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, US TERRITORIES "
"AMERICAN SAMOA","2019","7",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, AMERICAN SAMOA "
"NON-US RESIDENTS","2019","7",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"
, NON-US RESIDENTS "
"TOTAL","2019","7","3127",,"12308",,"45789",,"73840",,"60",,"165",,"632",,"912",,,"-","3",,"1",,"3",,,"
, TOTAL "
"SOUTH DAKOTA","2019","7",,"-","50",,"150",,"223",,,"-","2",,"2",,"5",,,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.35371, -100.373709)",
"GUAM","2019","7",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, GUAM 
(13.3532, 144.653198)",
"NEW MEXICO","2019","7","10",,"136",,"442",,"675",,,"-","5",,"12",,"9",,,"-","0",,,"-","1",,"
, NEW MEXICO 
(34.520396, -106.244402)",
"COLORADO","2019","7","175",,"270",,"1128",,"1201",,"4",,"5",,"19",,"21",,,"-","1",,,"-",,"-","
, COLORADO 
(38.841772, -106.132562)",
"LOUISIANA","2019","7","38",,"285",,"1019",,"1416",,,"-","7",,"12",,"18",,,"-","0",,,"-",,"-","
, LOUISIANA 
(31.2931, -92.463284)",
"INDIANA","2019","7",,"-","320",,,"-","1566",,,"-","7",,"19",,"31",,,"-","2",,,"-",,"-","
, INDIANA 
(39.76845, -86.156212)",
"MONTANA","2019","7","20",,"36",,"155",,"138",,,"-","2",,"4",,"4",,,"-","1",,,"-",,"-","
, MONTANA 
(47.062617, -109.430168)",
"FLORIDA","2019","7","369",,"764",,"3721",,"3865",,"8",,"14",,"41",,"65",,,"-","0",,,"-",,"-","
, FLORIDA 
(28.915325, -81.922409)",
"NEVADA","2019","7",,"-","157",,"22",,"778",,,"-","5",,"5",,"4",,,"-","0",,,"-",,"-","
, NEVADA 
(39.491833, -117.070159)",
"MISSISSIPPI","2019","7",,"-","262",,"630",,"1335",,,"-","4",,"9",,"16",,,"-","0",,,"-",,"-","
, MISSISSIPPI 
(32.738663, -89.537312)",
"WASHINGTON","2019","7","131",,"230",,"1092",,"1033",,,"-","2",,,"-","2",,,"-","1",,,"-","1",,"
, WASHINGTON 
(47.517368, -120.467672)",
"MINNESOTA","2019","7",,"-","192",,,"-","1008",,,"-","3",,,"-","3",,,"-","0",,,"-",,"-","
, MINNESOTA 
(46.357661, -94.793397)",
"OREGON","2019","7","121",,"158",,"751",,"797",,,"-","7",,"14",,"19",,,"-","0",,,"-",,"-","
, OREGON 
(44.567912, -120.156945)",
"VIRGINIA","2019","7","243",,"430",,"1762",,"1372",,"2",,"8",,"22",,"17",,,"-","0",,,"-",,"-","
, VIRGINIA 
(37.542699, -78.45822)",
"KANSAS","2019","7",,"-","131",,"563",,"623",,,"-","2",,,"-","4",,,"-","0",,,"-",,"-","
, KANSAS 
(38.345528, -98.201847)",
"ALASKA","2019","7",,"-","58",,,"-","301",,,"-","2",,"1",,"5",,,"-","0",,,"-",,"-","
, ALASKA 
(64.836661, -147.738891)",
"ARKANSAS","2019","7",,"-","164",,"152",,"924",,"1",,"8",,"8",,"5",,,"-","0",,,"-",,"-","
, ARKANSAS 
(34.748745, -92.275105)",
"PENNSYLVANIA","2019","7","217",,"552",,"1888",,"2844",,"2",,"12",,"42",,"41",,,"-","0",,,"-",,"-","
, PENNSYLVANIA 
(40.789676, -77.858055)",
"ALABAMA","2019","7",,"-","389",,"1339",,"1636",,,"-","6",,"13",,"23",,,"-","0",,,"-",,"-","
, ALABAMA 
(32.839182, -86.631125)",
"NEW JERSEY","2019","7","58",,"217",,"881",,"1106",,,"-","10",,"5",,"30",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.104655, -74.386686)",
"DELAWARE","2019","7",,"-","79",,,"-","201",,,"-","3",,"3",,"3",,,"-","0",,,"-",,"-","
, DELAWARE 
(39.008676, -75.574561)",
"ILLINOIS","2019","7","28",,"578",,"947",,"3192",,,"-","11",,"20",,"30",,,"-","2",,,"-",,"-","
, ILLINOIS 
(40.477092, -88.993221)",
"TEXAS","2019","7",,"-","1070",,,"-","6284",,"6",,"41",,"45",,"55",,,"-","1",,"1",,,"-","
, TEXAS 
(31.827233, -99.423022)",
"GEORGIA","2019","7","155",,"437",,"1068",,"2605",,"5",,"14",,"32",,"46",,,"-","0",,,"-",,"-","
, GEORGIA 
(32.836038, -83.631709)",
"NEBRASKA","2019","7","17",,"106",,"236",,"372",,"1",,"3",,"5",,"4",,,"-","1",,,"-",,"-","
, NEBRASKA 
(41.640503, -99.367122)",
"NEW YORK","2019","7","204",,"391",,"1181",,"1301",,"6",,"16",,"34",,"29",,,"-","1",,,"-",,"-","
, NEW YORK 
(42.826892, -75.544286)",
"WYOMING","2019","7",,"-","11",,"32",,"56",,,"-","1",,,"-","1",,,"-","0",,,"-",,"-","
, WYOMING 
(43.23558, -108.110518)",
"KENTUCKY","2019","7",,"-","215",,,"-","419",,,"-","7",,"10",,"23",,,"-","1",,,"-",,"-","
, KENTUCKY 
(37.64591, -84.774043)",
"IDAHO","2019","7",,"-","44",,"162",,"139",,"1",,"3",,"7",,"4",,,"-","0",,,"-",,"-","
, IDAHO 
(43.680635, -114.364237)",
"IOWA","2019","7",,"-","119",,"567",,"577",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, IOWA 
(42.46942, -93.815856)",
"MICHIGAN","2019","7","93",,"449",,"1569",,"1934",,"1",,"6",,"11",,"35",,,"-","1",,,"-",,"-","
, MICHIGAN 
(44.66399, -84.711206)",
"MAINE","2019","7",,"-","25",,"63",,"92",,,"-","3",,"3",,"7",,,"-","0",,,"-",,"-","
, MAINE 
(45.252223, -68.986647)",
"DISTRICT OF COLUMBIA","2019","7",,"-","107",,,"-","586",,,"-","3",,"2",,"2",,,"-","0",,,"-",,"-","
, DISTRICT OF COLUMBIA 
(38.892062, -77.019912)",
"HAWAII","2019","7",,"-","67",,,"-","363",,,"-","4",,"5",,"8",,,"-","0",,,"-",,"-","
, HAWAII 
(21.30992, -157.858158)",
"PUERTO RICO","2019","7","7",,"19",,"32",,"62",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, PUERTO RICO 
(18.215692, -66.414655)",
"WISCONSIN","2019","7","101",,"200",,"1008",,"957",,,"-","6",,"8",,"15",,,"-","1",,,"-",,"-","
, WISCONSIN 
(44.395526, -89.834513)",
"NEW HAMPSHIRE","2019","7","6",,"23",,"68",,"82",,,"-","3",,"5",,"9",,,"-","0",,,"-","1",,"
, NEW HAMPSHIRE 
(43.657736, -71.500736)",
"OHIO","2019","7","260",,"592",,"3085",,"3172",,"7",,"14",,"54",,"43",,,"-","1",,,"-",,"-","
, OHIO 
(40.056807, -82.405897)",
"OKLAHOMA","2019","7","35",,"167",,"612",,"981",,,"-","8",,"12",,"9",,,"-","0",,,"-",,"-","
, OKLAHOMA 
(35.468494, -97.521264)",
"MISSOURI","2019","7","232",,"389",,"2058",,"2012",,"3",,"8",,"22",,"37",,,"-","0",,,"-",,"-","
, MISSOURI 
(38.636168, -92.566292)",
"VERMONT","2019","7",,"-","11",,"1",,"10",,,"-","3",,"1",,"3",,,"-","0",,,"-",,"-","
, VERMONT 
(43.622479, -72.51927)",
"RHODE ISLAND","2019","7","6",,"133",,"33",,"81",,,"-","4",,"3",,"1",,,"-","1",,,"-",,"-","
, RHODE ISLAND 
(41.707447, -71.522488)",
"SOUTH CAROLINA","2019","7",,"-","481",,,"-","2204",,,"-","6",,"8",,"20",,,"-","0",,,"-",,"-","
, SOUTH CAROLINA 
(34.009286, -81.037094)",
"CONNECTICUT","2019","7",,"U",,"NC",,"U",,"U",,"-","5",,,"-","6",,,"-","0",,,"-",,"-","
, CONNECTICUT 
(41.544654, -72.651713)",
"UTAH","2019","7",,"-","81",,"282",,"352",,,"-","3",,"6",,"10",,,"-","0",,,"-",,"-","
, UTAH 
(39.359772, -111.584173)",
"NORTHERN MARIANA ISLANDS","2019","7",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, NORTHERN MARIANA ISLANDS 
(15.1834, 145.725693)",
"U.S. VIRGIN ISLANDS","2019","7",,"-","4",,,"-","6",,,"N",,"NC",,"N",,"N",,"-","0",,,"-",,"-","
, VIRGIN ISLANDS 
(18.060868, -64.840836)",
"WEST VIRGINIA","2019","7",,"-","43",,,"-","129",,"1",,"4",,"3",,"9",,,"-","1",,,"-",,"-","
, WEST VIRGINIA 
(38.668501, -80.709421)",
"ARIZONA","2019","7","25",,"306",,"1342",,"1653",,"3",,"6",,"27",,"27",,,"-","1",,,"-",,"-","
, ARIZONA 
(34.869712, -111.760902)",
"CALIFORNIA","2019","7","149",,"1788",,"9186",,"10576",,,"-","3",,"2",,"10",,,"-","0",,,"-",,"-","
, CALIFORNIA 
(37.640735, -121.002435)",
"MARYLAND","2019","7",,"-","243",,"260",,"1429",,"2",,"8",,"21",,"25",,,"-","0",,,"-",,"-","
, MARYLAND 
(39.290443, -76.612333)",
"NORTH CAROLINA","2019","7",,"-","522",,"1068",,"3091",,,"-","7",,"13",,"35",,,"-","1",,,"-",,"-","
, NORTH CAROLINA 
(35.47995, -79.180571)",
"MASSACHUSETTS","2019","7",,"-","190",,"698",,"1125",,,"-","7",,,"-","21",,,"-","1",,,"-",,"-","
, MASSACHUSETTS 
(42.268546, -72.085064)",
"TENNESSEE","2019","7","90",,"398",,"1288",,"1729",,,"-","9",,"21",,"37",,,"-","0",,,"-",,"-","
, TENNESSEE 
(35.681402, -85.774444)",
"NORTH DAKOTA","2019","7",,"-","38",,"93",,"148",,,"-","2",,"2",,"2",,,"-","0",,,"-",,"-","
, NORTH DAKOTA 
(47.475879, -100.121011)",
"US RESIDENTS","2019","8","3005",,"12312",,"54358",,"83944",,"48",,"170",,"740",,"1018",,,"-","3",,"1",,"3",,,"
, US RESIDENTS "
"NEW ENGLAND","2019","8","4",,"286",,"889",,"1559",,"2",,"12",,"32",,"52",,,"-","1",,,"-","1",,,"
, NEW ENGLAND "
"MIDDDLE ATLANTIC","2019","8","677",,"1644",,"8438",,"9461",,"8",,"27",,"112",,"134",,,"-","1",,,"-",,"-",,"
, MIDDDLE ATLANTIC "
"NEW YORK CITY","2019","8","230",,"690",,"3839",,"3447",,,"-","8",,"19",,"25",,,"-","0",,,"-",,"-",,"
, NEW YORK CITY "
"EAST NORTH CENTRAL","2019","8","483",,"1985",,"8410",,"12312",,"3",,"33",,"120",,"171",,,"-","2",,,"-",,"-",,"
, EAST NORTH CENTRAL "
"WEST NORTH CENTRAL","2019","8","294",,"908",,"4358",,"5625",,"2",,"9",,"36",,"56",,,"-","1",,,"-",,"-",,"
, WEST NORTH CENTRAL "
"SOUTH ATLANTIC","2019","8","770",,"2536",,"9612",,"17911",,"12",,"37",,"168",,"255",,,"-","1",,,"-",,"-",,"
, SOUTH ATLANTIC "
"EAST SOUTH CENTRAL","2019","8","52",,"1011",,"3370",,"5720",,,"-","17",,"62",,"106",,,"-","1",,,"-",,"-",,"
, EAST SOUTH CENTRAL "
"WEST SOUTH CENTRAL","2019","8","70",,"1605",,"2232",,"11016",,"11",,"57",,"89",,"108",,,"-","1",,"1",,,"-",,"
, WEST SOUTH CENTRAL "
"PACIFIC","2019","8","390",,"2118",,"12804",,"14788",,,"-","8",,"25",,"47",,,"-","1",,,"-","1",,,"
, PACIFIC "
"US TERRITORIES","2019","8",,"-","19",,"32",,"82",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, US TERRITORIES "
"AMERICAN SAMOA","2019","8",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, AMERICAN SAMOA "
"NON-US RESIDENTS","2019","8",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"
, NON-US RESIDENTS "
"TOTAL","2019","8","3005",,"12323",,"54390",,"84026",,"48",,"170",,"740",,"1018",,,"-","3",,"1",,"3",,,"
, TOTAL "
"MARYLAND","2019","8","12",,"244",,"389",,"1606",,"1",,"8",,"22",,"30",,,"-","0",,,"-",,"-","
, MARYLAND 
(39.290443, -76.612333)",
"WEST VIRGINIA","2019","8",,"-","43",,,"-","157",,"1",,"4",,"4",,"9",,,"-","1",,,"-",,"-","
, WEST VIRGINIA 
(38.668501, -80.709421)",
"NEW MEXICO","2019","8","3",,"136",,"515",,"775",,,"-","5",,"12",,"9",,,"-","0",,,"-","1",,"
, NEW MEXICO 
(34.520396, -106.244402)",
"NORTH DAKOTA","2019","8","10",,"38",,"140",,"167",,,"-","2",,"3",,"2",,,"-","0",,,"-",,"-","
, NORTH DAKOTA 
(47.475879, -100.121011)",
"FLORIDA","2019","8","387",,"765",,"4385",,"4492",,"6",,"14",,"47",,"72",,,"-","0",,,"-",,"-","
, FLORIDA 
(28.915325, -81.922409)",
"SOUTH DAKOTA","2019","8",,"-","50",,"170",,"247",,,"-","2",,"3",,"5",,,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.35371, -100.373709)",
"IDAHO","2019","8",,"-","44",,"162",,"151",,"2",,"3",,"9",,"4",,,"-","0",,,"-",,"-","
, IDAHO 
(43.680635, -114.364237)",
"GEORGIA","2019","8","165",,"437",,"1385",,"2850",,"2",,"14",,"35",,"51",,,"-","0",,,"-",,"-","
, GEORGIA 
(32.836038, -83.631709)",
"NEW JERSEY","2019","8","42",,"217",,"1014",,"1244",,,"-","10",,"9",,"34",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.104655, -74.386686)",
"MISSISSIPPI","2019","8",,"-","263",,"691",,"1491",,,"-","4",,"11",,"18",,,"-","0",,,"-",,"-","
, MISSISSIPPI 
(32.738663, -89.537312)",
"HAWAII","2019","8",,"-","67",,,"-","430",,,"-","4",,"7",,"9",,,"-","0",,,"-",,"-","
, HAWAII 
(21.30992, -157.858158)",
"VIRGINIA","2019","8","206",,"430",,"1967",,"1629",,"2",,"9",,"25",,"20",,,"-","0",,,"-",,"-","
, VIRGINIA 
(37.542699, -78.45822)",
"DELAWARE","2019","8",,"-","79",,"28",,"228",,,"-","3",,"3",,"4",,,"-","0",,,"-",,"-","
, DELAWARE 
(39.008676, -75.574561)",
"ALASKA","2019","8",,"-","58",,,"-","342",,,"-","2",,"1",,"5",,,"-","0",,,"-",,"-","
, ALASKA 
(64.836661, -147.738891)",
"DISTRICT OF COLUMBIA","2019","8",,"-","107",,,"-","657",,,"-","3",,"2",,"3",,,"-","0",,,"-",,"-","
, DISTRICT OF COLUMBIA 
(38.892062, -77.019912)",
"CONNECTICUT","2019","8",,"U",,"NC",,"U",,"U",,"-","5",,,"-","8",,,"-","0",,,"-",,"-","
, CONNECTICUT 
(41.544654, -72.651713)",
"MINNESOTA","2019","8",,"-","192",,,"-","1175",,,"-","3",,,"-","3",,,"-","0",,,"-",,"-","
, MINNESOTA 
(46.357661, -94.793397)",
